player_name,equipe,positions,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Arouna Sangante,Le Havre,DF,0,-0.9018027235037268,2.049473466200509,1.0480715150641284,-0.8770684693261805
Abdallah Sima,Brest,"FW,MF",7,1.6534463361006007,-1.4150919980577812,-0.09404817931584969,0.6644061144604609
Tanner Tessmann,Lyon,MF,1,0.24824571408956117,1.1239513371144692,-0.055049365412866834,-0.2657777340357729
Lilian Brassier,Rennes,DF,2,-0.9126677217277169,1.3842745441665305,-0.1448669263698324,-0.8613856878195189
Falaye Sacko,Montpellier,DF,6,-0.8701764380288685,-0.4041324759839238,0.8474188173644844,-0.6205003467961562
Mika Biereth,Monaco,FW,7,2.3670597853231667,-1.2467032373126665,-0.7521425538106662,1.1402480948016211
Leo Skiri Østigård,Rennes,DF,0,-0.838952469091485,1.2045511214847995,0.9408331931161108,-0.7966101442040256
Ngal'Ayel Mukau,Lille,MF,6,0.20573365684490094,0.5844510370863957,0.5861128794738784,0.187069037623981
Shavy Babicka,Toulouse,"MF,FW",7,1.2434672551275583,-1.3871912123951076,-0.5483390131482585,0.972111611870475
Jordan James,Rennes,MF,1,0.43991783695718395,0.40728906211902355,-0.28869911025053685,0.2048160594349034
Christopher Operi,Le Havre,"DF,FW",4,-0.6383205640977063,-0.5097415381839695,-1.7333359014340872,0.21266304020959517
Arnaud Nordin,Montpellier,FW,7,0.7395413455411215,-1.3873165570228767,-0.3191568126185338,0.7490934937318829
Nhoa Sangui,Reims,"DF,MF",3,-0.4132643724257825,-0.27059285115201914,0.02327447712003595,-0.2830842215655209
Valentín Barco,Strasbourg,"MF,DF",3,-0.7006429931686813,0.627242136163647,0.3677106440489689,0.235166369951334
Issiaga Sylla,Montpellier,DF,3,-0.8623967309778863,-0.8137696924636614,0.14038720718300074,-0.08017941407062872
Aleksandr Golovin,Monaco,"MF,FW",1,0.543766046615041,0.37827757205929113,-0.5966557318897363,0.925607982141501
Ayyoub Bouaddi,Lille,MF,6,0.15962788461592853,0.47872553990290423,0.8633147641247695,0.3347352683100198
Mama Samba Baldé,Brest,FW,7,1.2157188710813611,-1.5674921676004467,-0.009556848920257403,1.173676773869099
Mitchel Bakker,Lille,"FW,DF",4,0.14148253653206166,-0.44193281434705783,-1.5568828534124717,0.5230765945810076
Tanguy Ndombele,Nice,MF,1,0.6816180424765393,0.16180674809126477,0.23038267246469868,0.5698153799571828
Mory Gbane,Reims,"DF,MF",0,-0.26808967809149753,0.5754182520999956,0.8677798985636379,-0.9348697196009353
Ruben Aguilar,Lens,"DF,MF",3,-0.9014034244581538,0.5136438896846466,-0.5788139984156957,0.5830057614368688
Djaoui Cissé,Rennes,MF,1,0.3034141413443867,1.2493470312133832,-0.12858081815468086,-0.047738337973995355
Wahbi Khazri,Montpellier,"FW,MF",7,0.2967675496508558,-1.6948748999549115,-0.08261731222468133,0.43061709475810717
Musa Al-Taamari,Montpellier,"FW,MF",7,0.7657887159593979,-1.3206853130225837,-0.6959406339100764,1.2981753718209943
Timothee Pembele,Le Havre,DF,6,-0.4410910556720013,-0.6353560343903173,0.5709202128392012,-0.2604675884927725
Jaydee Canvot,Toulouse,"DF,MF",0,-0.22620104410341937,0.6049083776313476,0.7627436249122752,-0.7316641673953582
Edimilson Fernandes,Brest,"MF,DF",6,-0.16124762140975155,0.4187723087872334,0.6304795611206186,-0.9560441896208616
Badredine Bouanani,Nice,"MF,FW",4,0.8368954411431125,-0.7308945256117603,-1.4047119139729052,1.0329136340170764
Abner,Lyon,DF,3,-0.5833929232669853,0.2046498279092127,-0.3090686503335714,0.4796790570984064
Alban Lafont,Nantes,GK,5,-1.644246704805787,-0.11886022029777261,1.2862044927008556,-2.320581168786063
Kevin Danso,Lens,DF,2,-1.3679826854451331,1.1619756358001716,0.32622517387713845,-0.7337843157205225
Akor Adams,Montpellier,FW,7,1.575064956572974,-2.136246300013846,0.06058740138657314,1.1143860483495553
Gonçalo Ramos,Paris S,FW,7,2.363778074286673,-1.4867470153490523,-0.4321708848226297,1.457639748568819
Matias Fernandez-Pardo,Lille,"FW,MF",4,1.1735612088309098,-1.307262793170969,-1.3943463733229808,1.1465274610455012
Sofiane Diop,Nice,"MF,FW",4,0.8610422128629106,-0.28207972732796915,-1.9293785682738505,0.6477631530975234
Irvin Cardona,Saint,FW,7,1.5881343269278791,-1.256816902834075,-0.5332299860100278,0.46378450278529315
Rassoul Ndiaye,Le Havre,MF,6,0.3190823926073856,-0.6013972533021922,0.9056095486615914,0.06685232811123686
